route,method
/changes,delete
/changes,get
/exports,delete
/exports,get
/instances,get
/instances,post
/instances/{id},delete
/instances/{id},get
/instances/{id}/anonymize,post
/instances/{id}/attachments,get
/instances/{id}/attachments/{name},delete
/instances/{id}/attachments/{name},get
/instances/{id}/attachments/{name},put
/instances/{id}/attachments/{name}/compress,post
/instances/{id}/attachments/{name}/compressed-data,get
/instances/{id}/attachments/{name}/compressed-md5,get
/instances/{id}/attachments/{name}/compressed-size,get
/instances/{id}/attachments/{name}/data,get
/instances/{id}/attachments/{name}/info,get
/instances/{id}/attachments/{name}/is-compressed,get
/instances/{id}/attachments/{name}/md5,get
/instances/{id}/attachments/{name}/size,get
/instances/{id}/attachments/{name}/uncompress,post
/instances/{id}/attachments/{name}/verify-md5,post
/instances/{id}/content/{path},get
/instances/{id}/export,post
/instances/{id}/file,get
/instances/{id}/frames,get
/instances/{id}/frames/{frame},get
/instances/{id}/frames/{frame}/image-int16,get
/instances/{id}/frames/{frame}/image-uint16,get
/instances/{id}/frames/{frame}/image-uint8,get
/instances/{id}/frames/{frame}/matlab,get
/instances/{id}/frames/{frame}/numpy,get
/instances/{id}/frames/{frame}/preview,get
/instances/{id}/frames/{frame}/raw,get
/instances/{id}/frames/{frame}/raw.gz,get
/instances/{id}/frames/{frame}/rendered,get
/instances/{id}/header,get
/instances/{id}/image-int16,get
/instances/{id}/image-uint16,get
/instances/{id}/image-uint8,get
/instances/{id}/labels,get
/instances/{id}/labels/{label},delete
/instances/{id}/labels/{label},get
/instances/{id}/labels/{label},put
/instances/{id}/matlab,get
/instances/{id}/metadata,get
/instances/{id}/metadata/{name},delete
/instances/{id}/metadata/{name},get
/instances/{id}/metadata/{name},put
/instances/{id}/modify,post
/instances/{id}/module,get
/instances/{id}/numpy,get
/instances/{id}/patient,get
/instances/{id}/pdf,get
/instances/{id}/preview,get
/instances/{id}/reconstruct,post
/instances/{id}/rendered,get
/instances/{id}/series,get
/instances/{id}/simplified-tags,get
/instances/{id}/statistics,get
/instances/{id}/study,get
/instances/{id}/tags,get
/jobs,get
/jobs/{id},delete
/jobs/{id},get
/jobs/{id}/cancel,post
/jobs/{id}/pause,post
/jobs/{id}/resubmit,post
/jobs/{id}/resume,post
/jobs/{id}/{key},delete
/jobs/{id}/{key},get
/modalities,get
/modalities/{id},delete
/modalities/{id},get
/modalities/{id},put
/modalities/{id}/configuration,get
/modalities/{id}/echo,post
/modalities/{id}/find,post
/modalities/{id}/find-instance,post
/modalities/{id}/find-patient,post
/modalities/{id}/find-series,post
/modalities/{id}/find-study,post
/modalities/{id}/find-worklist,post
/modalities/{id}/get,post
/modalities/{id}/move,post
/modalities/{id}/query,post
/modalities/{id}/storage-commitment,post
/modalities/{id}/store,post
/modalities/{id}/store-straight,post
/patients,get
/patients/{id},delete
/patients/{id},get
/patients/{id}/anonymize,post
/patients/{id}/archive,get
/patients/{id}/archive,post
/patients/{id}/attachments,get
/patients/{id}/attachments/{name},delete
/patients/{id}/attachments/{name},get
/patients/{id}/attachments/{name},put
/patients/{id}/attachments/{name}/compress,post
/patients/{id}/attachments/{name}/compressed-data,get
/patients/{id}/attachments/{name}/compressed-md5,get
/patients/{id}/attachments/{name}/compressed-size,get
/patients/{id}/attachments/{name}/data,get
/patients/{id}/attachments/{name}/info,get
/patients/{id}/attachments/{name}/is-compressed,get
/patients/{id}/attachments/{name}/md5,get
/patients/{id}/attachments/{name}/size,get
/patients/{id}/attachments/{name}/uncompress,post
/patients/{id}/attachments/{name}/verify-md5,post
/patients/{id}/instances,get
/patients/{id}/instances-tags,get
/patients/{id}/labels,get
/patients/{id}/labels/{label},delete
/patients/{id}/labels/{label},get
/patients/{id}/labels/{label},put
/patients/{id}/media,get
/patients/{id}/media,post
/patients/{id}/metadata,get
/patients/{id}/metadata/{name},delete
/patients/{id}/metadata/{name},get
/patients/{id}/metadata/{name},put
/patients/{id}/modify,post
/patients/{id}/module,get
/patients/{id}/protected,get
/patients/{id}/protected,put
/patients/{id}/reconstruct,post
/patients/{id}/series,get
/patients/{id}/shared-tags,get
/patients/{id}/statistics,get
/patients/{id}/studies,get
/peers,get
/peers/{id},delete
/peers/{id},get
/peers/{id},put
/peers/{id}/configuration,get
/peers/{id}/store,post
/peers/{id}/store-straight,post
/peers/{id}/system,get
/plugins,get
/plugins/explorer.js,get
/plugins/{id},get
/queries,get
/queries/{id},delete
/queries/{id},get
/queries/{id}/answers,get
/queries/{id}/answers/{index},get
/queries/{id}/answers/{index}/content,get
/queries/{id}/answers/{index}/query-instances,post
/queries/{id}/answers/{index}/query-series,post
/queries/{id}/answers/{index}/query-studies,post
/queries/{id}/answers/{index}/retrieve,post
/queries/{id}/level,get
/queries/{id}/modality,get
/queries/{id}/query,get
/queries/{id}/retrieve,post
/series,get
/series/{id},delete
/series/{id},get
/series/{id}/anonymize,post
/series/{id}/archive,get
/series/{id}/archive,post
/series/{id}/attachments,get
/series/{id}/attachments/{name},delete
/series/{id}/attachments/{name},get
/series/{id}/attachments/{name},put
/series/{id}/attachments/{name}/compress,post
/series/{id}/attachments/{name}/compressed-data,get
/series/{id}/attachments/{name}/compressed-md5,get
/series/{id}/attachments/{name}/compressed-size,get
/series/{id}/attachments/{name}/data,get
/series/{id}/attachments/{name}/info,get
/series/{id}/attachments/{name}/is-compressed,get
/series/{id}/attachments/{name}/md5,get
/series/{id}/attachments/{name}/size,get
/series/{id}/attachments/{name}/uncompress,post
/series/{id}/attachments/{name}/verify-md5,post
/series/{id}/instances,get
/series/{id}/instances-tags,get
/series/{id}/labels,get
/series/{id}/labels/{label},delete
/series/{id}/labels/{label},get
/series/{id}/labels/{label},put
/series/{id}/media,get
/series/{id}/media,post
/series/{id}/metadata,get
/series/{id}/metadata/{name},delete
/series/{id}/metadata/{name},get
/series/{id}/metadata/{name},put
/series/{id}/modify,post
/series/{id}/module,get
/series/{id}/numpy,get
/series/{id}/ordered-slices,get
/series/{id}/patient,get
/series/{id}/reconstruct,post
/series/{id}/shared-tags,get
/series/{id}/statistics,get
/series/{id}/study,get
/statistics,get
/storage-commitment/{id},get
/storage-commitment/{id}/remove,post
/studies,get
/studies/{id},delete
/studies/{id},get
/studies/{id}/anonymize,post
/studies/{id}/archive,get
/studies/{id}/archive,post
/studies/{id}/attachments,get
/studies/{id}/attachments/{name},delete
/studies/{id}/attachments/{name},get
/studies/{id}/attachments/{name},put
/studies/{id}/attachments/{name}/compress,post
/studies/{id}/attachments/{name}/compressed-data,get
/studies/{id}/attachments/{name}/compressed-md5,get
/studies/{id}/attachments/{name}/compressed-size,get
/studies/{id}/attachments/{name}/data,get
/studies/{id}/attachments/{name}/info,get
/studies/{id}/attachments/{name}/is-compressed,get
/studies/{id}/attachments/{name}/md5,get
/studies/{id}/attachments/{name}/size,get
/studies/{id}/attachments/{name}/uncompress,post
/studies/{id}/attachments/{name}/verify-md5,post
/studies/{id}/instances,get
/studies/{id}/instances-tags,get
/studies/{id}/labels,get
/studies/{id}/labels/{label},delete
/studies/{id}/labels/{label},get
/studies/{id}/labels/{label},put
/studies/{id}/media,get
/studies/{id}/media,post
/studies/{id}/merge,post
/studies/{id}/metadata,get
/studies/{id}/metadata/{name},delete
/studies/{id}/metadata/{name},get
/studies/{id}/metadata/{name},put
/studies/{id}/modify,post
/studies/{id}/module,get
/studies/{id}/module-patient,get
/studies/{id}/patient,get
/studies/{id}/reconstruct,post
/studies/{id}/series,get
/studies/{id}/shared-tags,get
/studies/{id}/split,post
/studies/{id}/statistics,get
/system,get
/tools,get
/tools/accepted-sop-classes,get
/tools/accepted-transfer-syntaxes,get
/tools/accepted-transfer-syntaxes,put
/tools/bulk-anonymize,post
/tools/bulk-content,post
/tools/bulk-delete,post
/tools/bulk-modify,post
/tools/count-resources,post
/tools/create-archive,get
/tools/create-archive,post
/tools/create-dicom,post
/tools/create-media,get
/tools/create-media,post
/tools/create-media-extended,get
/tools/create-media-extended,post
/tools/default-encoding,get
/tools/default-encoding,put
/tools/dicom-conformance,get
/tools/dicom-echo,post
/tools/execute-script,post
/tools/find,post
/tools/generate-uid,get
/tools/invalidate-tags,post
/tools/labels,get
/tools/log-level,get
/tools/log-level,put
/tools/log-level-dicom,get
/tools/log-level-dicom,put
/tools/log-level-generic,get
/tools/log-level-generic,put
/tools/log-level-http,get
/tools/log-level-http,put
/tools/log-level-jobs,get
/tools/log-level-jobs,put
/tools/log-level-lua,get
/tools/log-level-lua,put
/tools/log-level-plugins,get
/tools/log-level-plugins,put
/tools/log-level-sqlite,get
/tools/log-level-sqlite,put
/tools/lookup,post
/tools/metrics,get
/tools/metrics,put
/tools/metrics-prometheus,get
/tools/now,get
/tools/now-local,get
/tools/reconstruct,post
/tools/reset,post
/tools/shutdown,post
/tools/unknown-sop-class-accepted,get
/tools/unknown-sop-class-accepted,put
